Meter_id,customer_id,meter_type,installation_date,last_reading_date
3001,1001,Prepaid,12/12/2020,02/05/2023
3002,1002,Postpaid,12/12/2020,02/05/2023
3003,1003,Smart meter,12/12/2020,02/05/2023
3004,1004,Prepaid,12/12/2020,02/05/2023
3005,1005,Postpaid,12/12/2020,02/05/2023
3006,1006,Smart meter,12/12/2020,02/05/2023
3007,1007,Prepaid,12/12/2020,02/05/2023
3008,1008,Postpaid,12/12/2020,02/05/2023
3009,1009,Smart meter,12/12/2020,02/05/2023
3010,1010,Prepaid,12/12/2020,02/05/2023
3011,1011,Postpaid,12/12/2020,02/05/2023
3012,1012,Smart meter,12/12/2020,02/05/2023
3013,1013,Prepaid,12/12/2020,02/05/2023
3014,1014,Postpaid,12/12/2020,02/05/2023
3015,1015,Smart meter,12/12/2020,02/05/2023
3016,1016,Prepaid,12/12/2020,02/05/2023
3017,1017,Postpaid,12/12/2020,02/05/2023
3018,1018,Smart meter,12/12/2020,02/05/2023
3019,1019,Prepaid,12/12/2020,02/05/2023
3020,1020,Postpaid,12/12/2020,02/05/2023
3021,1021,Smart meter,12/12/2020,02/05/2023
3022,1022,Prepaid,12/12/2020,02/05/2023
3023,1023,Postpaid,12/12/2020,02/05/2023
3024,1024,Smart meter,12/12/2020,02/05/2023
3025,1025,Prepaid,12/12/2020,02/05/2023
3026,1026,Postpaid,12/12/2020,02/05/2023
3027,1027,Smart meter,12/12/2020,02/05/2023
3028,1028,Prepaid,12/12/2020,02/05/2023
3029,1029,Postpaid,12/12/2020,02/05/2023
3030,1030,Smart meter,12/12/2020,02/05/2023
3031,1031,Prepaid,12/12/2020,02/05/2023
3032,1032,Postpaid,12/12/2020,02/05/2023
3033,1033,Smart meter,12/12/2020,02/05/2023
3034,1034,Prepaid,12/12/2020,02/05/2023
3035,1035,Postpaid,12/12/2020,02/05/2023
3036,1036,Smart meter,12/12/2020,02/05/2023
3037,1037,Prepaid,12/12/2020,02/05/2023
3038,1038,Postpaid,12/12/2020,02/05/2023
3039,1039,Smart meter,12/12/2020,02/05/2023
